,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,CPG.L Weight
815,0.000264023,0.015927573,0.016576487,-0.007699763,0.975632659,0.024327623,3.97E-05
430,0.000244816,0.015750706,0.015543161,-0.007630537,0.956378552,0.024922127,0.018699321
962,0.000448745,0.015445653,0.029053164,-0.007274081,0.208096512,0.002906709,0.788996779
151,0.001094757,0.014718172,0.074381299,-0.006264329,0.012769005,0.036139104,0.951091891
107,0.001081406,0.010723881,0.100840936,-0.004280534,0.029716193,0.02582037,0.944463436
660,0.000268418,0.016034756,0.016739735,-0.00774896,0.990928944,0.002864395,0.006206661
896,0.000299708,0.011354021,0.02639667,-0.005377302,0.245599064,0.010966804,0.743434132
511,0.000918027,0.018761507,0.048931406,-0.008462727,0.021538106,0.013678615,0.96478328
56,0.00098332,0.018224054,0.053957274,-0.008128707,0.069116126,0.018167164,0.912716711
704,0.000268137,0.016033331,0.016723696,-0.007748529,0.989513606,0.008647681,0.001838713
747,0.000460491,0.017773713,0.025908538,-0.008426366,0.466999381,0.000202346,0.532798273
621,0.000239861,0.013455944,0.017825641,-0.006488111,0.657933154,0.007913359,0.334153486
650,0.000224181,0.015248037,0.014702276,-0.007399838,0.922013975,0.012452668,0.065533356
603,0.000230127,0.015222186,0.015117886,-0.007380966,0.887876034,0.075390278,0.036733689
211,0.000260909,0.015778111,0.016536143,-0.007628146,0.948550972,0.032138798,0.01931023
621,0.000719344,0.014163273,0.050789362,-0.006362293,0.032659815,0.070088514,0.89725167
895,0.000419397,0.012356148,0.033942402,-0.005758677,0.017000146,0.005731746,0.977268109
442,0.000508616,0.015271508,0.033304921,-0.007127138,0.074646478,0.016294693,0.909058829
321,0.000478698,0.01416575,0.033792644,-0.006604177,0.080511004,0.03160242,0.887886577
23,0.000264364,0.015954069,0.016570333,-0.00771267,0.978741365,0.010645608,0.010613027
457,0.000258351,0.015810288,0.016340677,-0.007646793,0.945993705,0.048521511,0.005484784
681,0.000483219,0.016640871,0.02903809,-0.007837216,0.043329899,0.011188372,0.945481729
503,0.001039911,0.014205186,0.073206458,-0.006062681,0.111737858,0.010473212,0.87778893
813,0.001059803,0.010612165,0.099866842,-0.004246279,0.032392901,0.048501485,0.919105613
965,0.000263733,0.015879016,0.016608887,-0.007675775,0.966522979,0.020760937,0.012716084
445,0.000303467,0.011409511,0.026597715,-0.005401289,0.237316255,0.002141835,0.76054191
311,0.000901454,0.018451082,0.048856449,-0.008324087,0.026660609,0.031956635,0.941382756
851,0.000986502,0.018290999,0.053933741,-0.008158998,0.071380895,0.015809764,0.912809341
877,0.000260796,0.0157781,0.016528982,-0.007628254,0.936146866,0.060682336,0.003170797
104,0.000471204,0.018179493,0.025919558,-0.008618542,0.417364057,0.013762293,0.568873651
440,0.000240204,0.013439435,0.017873045,-0.006479514,0.651647964,0.01230378,0.336048256
409,0.000257361,0.015689128,0.016403785,-0.007587203,0.915021749,0.083235991,0.00174226
671,0.00024619,0.015452062,0.015932481,-0.007479841,0.857583718,0.133342369,0.009073913
281,0.000732601,0.014228536,0.051488155,-0.006381667,0.077783892,0.013051715,0.909164393
271,0.000418928,0.012370704,0.033864527,-0.005766424,0.018183877,0.004658055,0.977158068
702,0.000482178,0.014551565,0.033135817,-0.006793605,0.178780412,0.010537204,0.810682384
742,0.000477209,0.014146018,0.033734494,-0.0065958,0.135022118,0.001798558,0.863179324
676,0.000236726,0.015337143,0.015434834,-0.007431845,0.912131984,0.046708045,0.041159972
646,0.000255269,0.015675905,0.016284168,-0.007582683,0.94666806,0.052212496,0.001119445
328,0.000462393,0.015899274,0.029082644,-0.007487244,0.129681695,0.010880784,0.859437522
680,0.001096847,0.014722323,0.074502304,-0.006264315,0.040612341,0.013957386,0.945430273
577,0.001116922,0.010903333,0.102438552,-0.004334745,0.013480794,0.007641785,0.978877421
560,0.000226534,0.014913698,0.015189629,-0.007230315,0.864545012,0.049724279,0.085730708
531,0.000304208,0.011494781,0.026464871,-0.005443182,0.198846574,0.003972122,0.797181305
536,0.000917954,0.018725489,0.049021652,-0.00844479,0.040797932,0.00052639,0.958675678
865,0.001010975,0.018741045,0.053944453,-0.008359547,0.021122166,0.027829808,0.951048026
495,0.000258719,0.015798965,0.016375672,-0.007640764,0.962227467,0.019586081,0.018186452
775,0.000458324,0.017696115,0.025899674,-0.008389734,0.473010296,0.000261636,0.526728069
546,0.000236542,0.013203066,0.017915659,-0.006364992,0.605253219,0.002227689,0.392519092
545,0.000228336,0.015053432,0.015168383,-0.00729838,0.870521405,0.114202048,0.015276547
356,0.000245676,0.015467859,0.015883014,-0.007488253,0.924228433,0.056871271,0.018900296
671,0.000681797,0.012588758,0.054159175,-0.005612582,0.009439296,0.722650092,0.267910612
611,0.000696429,0.012580926,0.055355974,-0.005594034,0.011241465,0.663169737,0.325588798
346,0.000682411,0.012252927,0.055693748,-0.005444052,0.002783847,0.633836332,0.363379822
814,0.000754699,0.01453464,0.051924134,-0.006512621,0.033253135,0.955931599,0.010815266
